clube_id,jogos,aproveitamento,media_gols_feitos,media_gols_sofridos,total_gols_feitos,total_gols_sofridos,vitorias_mandante,derrotas_mandante,vitorias_visitante,derrotas_visitante,clube_nome
285,63,47.62,1.27,1.21,80,76,16,8,8,13,INT
265,63,48.15,1.27,1.29,80,81,21,5,5,19,BAH
266,63,44.97,1.03,1.13,65,71,17,6,7,20,FLU
280,63,37.57,1.11,1.48,70,93,12,9,6,19,RBB
276,63,46.56,1.25,1.14,79,72,17,8,7,15,SAO
356,63,44.97,1.24,1.25,78,79,16,8,6,14,FOR
267,63,41.27,1.32,1.49,83,94,15,9,7,20,VAS
284,63,34.92,1.03,1.4,65,88,13,11,3,18,GRE
264,63,42.33,1.11,1.17,70,74,14,6,7,19,COR
282,63,43.39,1.21,1.33,76,84,14,6,6,15,CAM
283,63,52.91,1.25,0.89,79,56,18,6,9,11,CRU
263,63,61.38,1.46,0.81,92,51,19,5,14,8,BOT
287,63,34.92,1.05,1.49,66,94,13,10,3,19,VIT
275,63,63.49,1.56,0.92,98,58,21,6,15,9,PAL
286,63,35.45,1.1,1.75,69,110,13,11,5,21,JUV
262,63,64.02,1.84,0.92,116,58,20,3,15,9,FLA
292,33,17.17,0.76,1.82,25,60,1,9,1,11,SPT
2305,33,59.6,1.64,1.0,54,33,11,0,5,6,MIR
277,33,36.36,1.03,1.45,34,48,6,5,3,10,SAN
354,33,42.42,0.94,0.91,31,30,7,5,4,8,CEA
