rodada;ano;pontuacao
1;2025;59.3
2;2025;83.09
3;2025;32.02
4;2025;62.36
5;2025;101.38
6;2025;37.51
7;2025;92.84
8;2025;58.68
9;2025;87.45
10;2025;76.22
11;2025;122.97
12;2025;81.91
13;2025;117.99
14;2025;67.20
15;2025;77.82
16;2025;45.35
17;2025;44.41
18;2025;80.77
19;2025;28.15
20;2025;73.15
21;2025;155.01
22;2025;75.74
23;2025;82.70
24;2025;63.30
25;2025;46.10
26;2025;86.14
27;2025;76.17
28;2025;106.24
29;2025;94.53
30;2025;47.89
31;2025;92.67
32;2025;114.04
33;2025;61.52
34;2025;96.21
35;2025;94.41
36;2025;70.90
37;2025;100.80
38;2025;66.25
