,Rodada,Vini (Você),Máximo Possível,IA Nova (Com Mando),IA Legado (Sem Mando)
20,21,155.01,275.04,173.46000000000004,140.86
10,11,122.97,200.46999999999994,139.8,102.9
12,13,117.99,202.83999999999995,84.17,91.91999999999999
31,32,114.04,189.83999999999997,115.33999999999999,76.53999999999999
27,28,106.24,226.24000000000004,113.04,102.5
4,5,101.38,190.75,85.77000000000001,105.47999999999999
33,34,96.21,163.87,104.19999999999999,93.56999999999998
28,29,94.53,197.45000000000005,93.55,79.71000000000001
6,7,92.84,212.71,125.96,95.04999999999998
30,31,92.67,184.26999999999998,94.42,65.54
8,9,87.45,188.82999999999998,128.42999999999998,88.03000000000002
25,26,86.14,211.93999999999997,95.44,78.03999999999999
1,2,83.09,200.62000000000003,103.69,97.39
22,23,82.7,213.8,143.53,132.93
11,12,81.91,193.4,26.8,52.05
17,18,80.77,190.37,121.82,70.21999999999998
14,15,77.82,204.70000000000005,142.5,113.82
9,10,76.22,171.02,59.17,85.31
26,27,76.17,182.89000000000001,67.37,48.13
21,22,75.74,163.43,95.32,78.13999999999999
19,20,73.15,201.92999999999998,84.86999999999999,99.48
13,14,67.2,183.21,56.25000000000001,55.05
23,24,63.3,175.46000000000004,70.68,89.50000000000001
3,4,62.36,224.86,122.03999999999999,104.09
32,33,61.52,197.58,40.14,32.94
0,1,59.3,185.39999999999998,170.52999999999997,174.78
7,8,58.68,252.83999999999997,193.01,165.36
29,30,47.89,210.81,45.86,21.49
24,25,46.1,221.54999999999995,97.75999999999999,71.10000000000001
15,16,45.35,159.57999999999998,66.25999999999999,56.6
16,17,44.41,183.76999999999995,93.52000000000001,102.92000000000002
5,6,37.51,237.74999999999997,139.45999999999998,151.45999999999998
2,3,32.02,188.07999999999998,68.61999999999999,71.72
18,19,28.15,218.35999999999999,83,95.9
